P3156	Australian Classification
P210	party chief representative
P3205	patient of
P1962	patron
P417	patron saint
P2851	payment types accepted
P1596	penalty
P175	performer
P2959	permanent duplicated item
P515	phase of matter
P129	physically interacts with
P19	place of birth
P119	place of burial
P20	place of death
P2632	place of detention
P1321	place of origin (Switzerland)
P291	place of publication
P931	place served by transport hub
P400	platform
P741	playing hand
P3764	pole position
P1387	political alignment
P1142	political ideology
P532	port of registry
P39	position held
P413	position played on team / speciality
P4292	possessed by spirit
P516	powerplant
P3095	practiced by
P3489	pregnancy category
P1441	present in work
P371	presenter
P1302	primary destinations
P872	printed by
P2849	produced by
P162	producer
P1389	product certification
P1056	product or material produced
P272	production company
P2554	production designer
P2746	production statistics
P943	programmer
P277	programming language
P3966	programming paradigm
P1963	properties for this type
P2700	protocol
P832	public holiday
P1433	published in
P123	publisher
P3085	qualifies for event
P1072	readable file format
P264	record label
P1075	rector
P3719	regulated by
P1038	relative
P140	religion
P611	religious order
P1366	replaced by
P1365	replaces
P1875	represented by
P1268	represents
P551	residence
P4446	reward program
P3858	route diagram
P636	route of administration
P460	said to be the same as
P58	screenwriter
P1406	script directionality
P418	seal description
P1950	second family name in Spanish name
P3975	secretary general
P1659	see also
P807	separated from
P179	series
P2408	set in period
P21	sex or gender
P91	sexual orientation
P47	shares border with
P423	shooting handedness
P3373	sibling
P2546	sidekick of
P1891	signatory
P3969	signed form
P793	significant event
P3342	significant person
P190	sister city
P65	site of astronomical discovery
P3716	social classification
P408	software engine
P2992	software quality assurance
P406	soundtrack album
P618	source of energy
P375	space launch vehicle
P823	speaker
P2512	spin-off
P859	sponsor
P787	spore print color
P641	sport
P2416	sports discipline competed in
P3450	sports season of
P26	spouse
P1427	start point
P248	stated in
P805	statement is subject of
P3279	statistical leader
P3448	stepparent
P786	stipe character
P414	stock exchange
P167	structure replaced by
P1398	structure replaces
P802	student
P1066	student of
P2579	studied by
P2578	studies
P279	subclass of
P2868	subject has role
P1629	subject item of this property
P355	subsidiary
P2098	substitute/deputy/replacement of office/officeholder
P991	successful candidate
P2563	superhuman feature or ability
P780	symptoms
P1434	takes place in fictional universe
P533	target
P105	taxon rank
P1420	taxon synonym
P427	taxonomic type
P1423	template's main topic
P524	temporal range end
P523	temporal range start
P559	terminus
P609	terminus location
P1336	territory claimed by
P3179	territory overlaps
P942	theme music
P1672	this taxon is source of
P2743	this zoological name is coordinate with
P2348	time period
P2962	title of chess player
P826	tonality
P78	top-level internet domain
P1151	topic's main Wikimedia portal
P910	topic's main category
P1424	topic's main template
P545	torch lit by
P2872	tourist office
P1064	track gauge
P658	tracklist
P655	translator
P974	tributary
P930	type of electrification
P522	type of orbit
P2876	type of unit for this property
P881	type of variable star
P2737	union of
P2237	units used for this property
P366	use
P1535	used by
P2283	uses
P3438	vehicle normally used
P2289	venous drainage
P1876	vessel
P2522	victory
P725	voice actor
P412	voice type
P3815	volcano observatory
P4614	watershed
P3828	wears
P553	website account on
P2978	wheel arrangement
P2846	wheelchair accessibility
P1654	wing configuration
P1346	winner
P937	work location
P1049	worshipped by
P1073	writable file format
P282	writing system
P4379	youth wing
